Date,Jan,Feb,Mar,Apr,May,Jun
1,70,81,71,96,84,84
2,74,85,75,96,84,83
3,74,81,63,96,91,83
4,78,89,72,96,92,86
5,69,89,65,97,91,88
6,61,91,60,96,92,91
7,68,90,71,78,96,87
8,84,92,81,74,95,89
9,99,88,75,74,87,89
10,96,92,78,86,78,88
11,94,98,80,92,87,87
12,100,98,76,84,90,83
13,94,96,58,89,96,85
14,87,72,80,90,99,90
15,73,62,84,76,88,90
16,77,63,80,76,89,96
17,62,73,88,91,95,96
18,63,72,81,95,90,89
19,63,66,90,93,88,88
20,83,64,91,98,90,85
21,87,69,94,97,88,84
22,90,66,94,94,86,83
23,56,73,92,96,91,88
24,51,68,89,94,95,87
25,68,59,96,87,95,86
26,56,60,99,74,93,83
27,36,64,97,86,88,83
28,36,74,98,90,84,87
29,50,,93,89,78,83
30,69,,97,77,74,83
31,,,99,,80,
