Date,Jan,Feb,Mar,Apr,May,Jun
1,,163,255,56,171,222
2,154,103,233,33,117,284
3,89,118,238,19,167,290
4,134,65,202,51,236,276
5,182,49,268,37,285,252
6,198,59,271,148,160,101
7,131,143,252,179,67,158
8,33,59,189,72,51,234
9,47,115,239,106,168,197
10,29,97,263,125,128,198
11,64,42,212,196,92,182
12,18,26,178,244,93,286
13,41,153,66,220,84,184
14,182,106,115,185,55,125
15,72,231,173,218,200,70
16,50,187,238,303,145,51
17,131,245,150,151,92,22
18,204,120,226,161,290,105
19,206,183,44,95,257,234
20,130,200,68,47,252,271
21,97,225,73,57,263,287
22,170,253,71,61,288,283
23,142,248,119,36,60,126
24,197,229,179,55,89,128
25,122,240,39,37,59,252
26,126,248,38,195,140,242
27,132,257,25,92,224,298
28,223,254,33,230,278,156
29,227,,70,131,302,261
30,234,,37,187,294,208
31,150,,26,,225,
