Date,Jan,Feb,Mar,Apr,May,Jun
1,,10,8,11,14,9
2,16,12,12,12,13,8
3,18,11,12,13,9,7
4,13,12,8,15,9,12
5,9,10,10,16,14,16
6,16,8,10,14,14,13
7,14,8,9,16,10,11
8,11,12,7,12,16,9
9,12,11,5,10,14,8
10,14,8,9,11,19,7
11,9,10,9,9,12,8
12,12,10,12,7,11,9
13,9,9,14,11,10,7
14,6,19,9,6,12,7
15,15,18,8,10,8,7
16,21,13,9,9,9,9
17,17,10,10,8,12,8
18,16,7,8,12,10,13
19,11,11,13,10,8,12
20,12,14,10,7,12,12
21,10,17,13,12,13,12
22,10,14,15,18,11,12
23,7,11,15,13,13,12
24,26,12,12,9,15,12
25,18,23,12,11,12,11
26,11,17,13,14,11,7
27,23,14,15,15,10,9
28,21,11,10,10,10,8
29,17,,12,7,8,8
30,10,,5,12,9,9
31,10,,11,,11,
