Date,Jan,Feb,Mar,Apl,May,Jun
1,,18.6,19.4,19.7,23.1,27.5
2,16.3,18.4,18.9,20.7,22.9,29.4
3,15.2,17.5,17.8,20.7,24.3,29.6
4,15.7,16.6,18.9,23.1,25.5,28.8
5,17.6,17.2,18.9,23.8,25.7,28
6,18.5,18.1,19,23.9,26.6,27.3
7,18,19.5,19,20.4,25,28.4
8,17.7,17.8,20.3,19.8,21.5,27.8
9,17.4,18.6,21.8,19.5,22.4,27.9
10,16.2,19.9,20.8,20.5,22.7,27.8
11,16.8,18.6,20.8,22.7,22.5,28.4
12,18.2,19.8,21.8,23.6,22.1,29.4
13,20.4,20.8,19.7,22.2,21.1,28.7
14,22.1,16,18.6,23.2,20.2,27.2
15,16,14.8,20,26,23.5,27.2
16,10.1,15.7,20.7,25.4,24.7,25.4
17,10.2,18,20.9,24.4,26,25.7
18,12,20.1,22.1,24.8,27.8,28
19,13.8,22.7,20.2,24.2,28,28.4
20,15.2,19.3,21.4,23.5,28.2,28.9
21,16,17.1,22.4,22.8,28.3,29.2
22,17.7,16.4,23.1,22.8,28.3,29.2
23,18,17.4,23.4,22.9,26.3,28.6
24,14,19.6,24,22.6,24.4,28.6
25,11.1,16.1,22.6,21.1,25.4,28.8
26,14.3,15.9,19,20.5,26.8,28.9
27,13.7,16.1,16.8,21.6,27.4,29
28,11.5,17.1,16.6,23.2,27.5,28.6
29,11.7,,18.9,24.2,28,29.4
30,13.7,,19.3,23.4,31.1,29.5
31,16,,19.5,,31,
